"WINDEX","Other","Madrasah","Private","Government"
"Poor",0.00818612666953899,0.044992921770173,0.100080014771958,0.84674093678833
"Relatively Poor",0.00843746662394532,0.0331090462458614,0.163569368792054,0.794884118338139
"Relatively Rich",0.00467581047381546,0.0244700748129676,0.200072734829593,0.770781379883624
"Rich",0.00590540613088527,0.0184678155365867,0.274708756106727,0.700918022225801
