"WINDEX","Beginner/Nothing","letters","words","sentences","story"
"Poor",0.168171367689116,0.161105815061964,0.27953793528851,0.20232153872035,0.188863343240061
"Relatively Poor",0.0971253434791799,0.166138237159163,0.278218135700698,0.206404565630945,0.252113718030015
"Relatively Rich",0.083827932139293,0.179263616786596,0.281579914911497,0.202951835705657,0.252376700456957
"Rich",0.0581421006178288,0.103541482789056,0.219825684024713,0.232954545454545,0.385536187113857
