"WINDEX","Never enrolled","Drop-out","Currently enrolled"
"Poor",0.156492038293164,0.0573916390051474,0.786116322701689
"Relatively Poor",0.0886205294937297,0.0394797956339991,0.871899674872271
"Relatively Rich",0.0596635091191856,0.0308685611951553,0.909467929685659
"Rich",0.0345802413044576,0.0221616436973093,0.943258114998233
