"","syear","dname","sample","non_enrollment","reading","arithmetic","english"
"1",2016,"Abbottabad",679,0.00736377025036819,4.12148148148148,3.81508875739645,4.18343195266272
"2",2016,"Astore",574,0.0435540069686411,3.57321428571429,3.65957446808511,3.45567375886525
"3",2016,"Attock",462,0.0800865800865801,3.0952380952381,3.07972665148064,2.62585034013605
"4",2016,"Awaran",366,0.185792349726776,3.04320987654321,3.04361370716511,3.02769230769231
"5",2016,"Badin",714,0.0140056022408964,2.96078431372549,2.80672268907563,2.26890756302521
"6",2016,"Bagh",364,0.0494505494505494,3.95738636363636,4.25,4.32102272727273
"7",2016,"Bahawalnager",532,0.103383458646617,3.41634980988593,3.42314990512334,3.18785578747628
"8",2016,"Bahawalpur",765,0.112418300653595,3.6612685560054,3.5972972972973,3.66396761133603
"9",2016,"Bannu",512,0.125,3.25844930417495,3.15506958250497,3.27634194831014
"10",2016,"Barkhan",783,0.272030651340996,2.63877266387727,2.83519553072626,2.53221288515406
"11",2016,"Battagram",502,0.358565737051793,2.86178861788618,2.55375253549696,2.87423935091278
"12",2016,"Bhakkar",458,0.0938864628820961,3.18281938325991,3.31057268722467,2.97356828193833
"13",2016,"Bhimber",641,0.0015600624024961,4.70172684458399,4.73469387755102,4.5839874411303
"14",2016,"Bolan",563,0.255772646536412,2.55428571428571,2.59386973180077,2.44337811900192
"15",2016,"Buner",543,0.0957642725598527,2.02155172413793,1.31182795698925,1.34193548387097
"16",2016,"Chaghi",421,0.106888361045131,3.26737967914439,3.51902173913043,3.24664879356568
"17",2016,"Chakwal",457,0.0240700218818381,3.85820895522388,3.53448275862069,3.68872549019608
"18",2016,"Charsadda",484,0.128099173553719,2.70779220779221,2.42795698924731,2.4752688172043
"19",2016,"Chiniot",540,0.0814814814814815,3.47486033519553,3.3780260707635,3.46554934823091
"20",2016,"Chitral",551,0.0689655172413793,3.10594795539033,3.09665427509294,3.14312267657993
"21",2016,"Dadu",572,0.173076923076923,2.54690265486726,2.53982300884956,2.16283185840708
"22",2016,"Dera Bugti",677,0.311669128508124,2.9042735042735,3.05972696245734,2.79897785349233
"23",2016,"Dera Ghazi Khan",543,0.220994475138122,3.33655705996132,3.49323017408124,3.26112185686654
"24",2016,"Dera Ismail Khan",478,0.169456066945607,2.72903225806452,2.68965517241379,2.7801724137931
"25",2016,"Diamer",698,0.399713467048711,2.2158273381295,2.32517985611511,2.11206896551724
"26",2016,"F.R. - Bannu",559,0.037567084078712,3.17604355716878,3.23956442831216,3.38838475499093
"27",2016,"F.R. - D.I. Khan",562,0.291814946619217,2.68035714285714,2.60573476702509,2.35714285714286
"28",2016,"F.R. - Kohat",658,0.153495440729483,2.93251533742331,3.06584992343032,2.88650306748466
"29",2016,"F.R. - Lakki Marwat",589,0.151103565365025,2.76683937823834,3.01727115716753,3.03281519861831
"30",2016,"F.R. - Peshawar",593,0.0691399662731872,3.28522920203735,3.50338983050847,3.4135593220339
"31",2016,"F.R. - Tank",516,0.0717054263565891,3.15913555992141,3.00980392156863,2.42156862745098
"32",2016,"Faisalabad",604,0.0314569536423841,3.96245733788396,3.83986371379898,3.96252129471891
"33",2016,"Ghanche",492,0.024390243902439,3.31352459016393,3.44467213114754,3.41393442622951
"34",2016,"Ghizer",447,0.0178970917225951,3.54954954954955,3.64189189189189,3.71846846846847
"35",2016,"Gilgit",620,0.0435483870967742,3.44336569579288,3.60194174757282,3.50970873786408
"36",2016,"Gotki",589,0.198641765704584,2.84615384615385,2.69453924914676,2.62457337883959
"37",2016,"Gujranwala",390,0.0487179487179487,3.84831460674157,3.81232492997199,3.95518207282913
"38",2016,"Gujrat",394,0.0126903553299492,3.7974358974359,3.75703324808184,3.53452685421995
"39",2016,"Gwadar",480,0.272916666666667,2.82403433476395,2.76017130620985,2.92077087794433
"40",2016,"Hafizabad",568,0.0633802816901408,3.63195691202873,3.60714285714286,3.61964285714286
"41",2016,"Hangu",532,0.135338345864662,3.00380952380952,2.76091081593928,3.33333333333333
"42",2016,"Haripur",318,0.0188679245283019,4.54575163398693,4.38562091503268,4.76797385620915
"43",2016,"Harnai",718,0.314763231197772,2.51700680272109,2.6017094017094,2.5366269165247
"44",2016,"Hattian",621,0.00161030595813205,4.74919093851133,4.7378640776699,4.65210355987055
"45",2016,"Haveli",545,0.0605504587155963,4.09737827715356,4.09925093632959,4.14794007490637
"46",2016,"Hunza-Nagar",469,0.0213219616204691,3.88768898488121,3.98060344827586,4.11422413793103
"47",2016,"Hyderabad",700,0.0571428571428571,3.10616929698709,2.85222381635581,2.59540889526542
"48",2016,"Islamabad",200,0.02,3.96256684491979,3.75409836065574,3.64171122994652
"49",2016,"Jacobabad",475,0.24,2.13375796178344,1.95762711864407,1.83898305084746
"50",2016,"Jafarabad",609,0.126436781609195,2.48880597014925,2.52523364485981,2.37593984962406
"51",2016,"Jamshoro",409,0.193154034229829,2.70801033591731,2.70025839793282,2.66925064599483
"52",2016,"Jehlum",451,0.0731707317073171,3.23703703703704,3.23529411764706,3.05867970660147
"53",2016,"Jhal Magsi",463,0.494600431965443,2.13366336633663,2.12376237623762,2.01728395061728
"54",2016,"Jhang",676,0.0961538461538462,3.69701492537313,3.59701492537313,3.63283582089552
"55",2016,"Kallat",569,0.413005272407733,2.435318275154,2.41649484536082,2.4320987654321
"56",2016,"Karachi-Malir-Rural",342,0.0818713450292398,3.80538922155689,3.60597014925373,3.76119402985075
"57",2016,"Karachi-West-Rural",578,0.160899653979239,3.94117647058824,3.76274509803922,3.78235294117647
