"rname","year1","year2","diff"
"Azad Kashmir",98.641158591096,97.1863276365152,-1.4548309545808
"Islamabad - ICT",98,93.0875576036866,-4.91244239631337
"Punjab",92.0848283618058,93.1814317292977,1.09660336749192
"Gilgit-Baltistan",89.8789595673448,91.410597628841,1.53163806149621
"Khyber Pakhtunkhwa",88.8556596320957,87.55586112066,-1.29979851143568
"National",85.611982449947,88.1660189000533,2.55403645010625
"Sindh",83.5110514794153,85.7350272232305,2.22397574381519
"Balochistan",73.0088031859149,81.3696205332448,8.36081734732993
