"rname","year1","year2","diff"
"Azad Kashmir",4.41736287686161,4.99935344827586,0.581990571414257
"Islamabad - ICT",3.75409836065574,4.48507462686567,0.730976266209934
"Punjab",3.48883114010837,4.66336575647486,1.17453461636649
"Gilgit-Baltistan",3.30431392931393,4.6168782673637,1.31256433804977
"National Average",3.13004117398649,4.21104985779946,1.08100868381298
"Khyber Pakhtunkhwa",3.00974025974026,4.36577482492368,1.35603456518343
"Sindh",2.79359712230216,3.38531385708646,0.5917167347843
"Balochistan",2.68250514554543,3.344131614654,0.661626469108575
