"rname","year1","year2","diff"
"Azad Kashmir",4.34988179669031,4.12741490340386,-0.222466893286444
"Islamabad",3.96256684491979,3.67024128686327,-0.292325558056515
"Punjab",3.54423726000111,3.88007749031371,0.335840230312604
"Gilgit-Baltistan",3.18193649141072,3.58690869086909,0.404972199458363
"National Average",3.1658573916715,3.42782802445067,0.261970632779162
"Khyber Pakhtunkhwa",3.1227652658463,3.52419737466393,0.401432108817628
"Sind",2.90367864084659,2.74969072164948,-0.153987919197107
"Balochistan",2.62825169908601,2.70055132255467,0.072299623468659
