rid,rname_row,did,dname_row,rname,dname
5,Khyber Pakhtunkhwa,248,Upper Dir,Khyber Pakhtunkhwa,Upper Dir
5,Khyber Pakhtunkhwa,249,Mardan,Khyber Pakhtunkhwa,Mardan
5,Khyber Pakhtunkhwa,250,Buner,Khyber Pakhtunkhwa,Buner
5,Khyber Pakhtunkhwa,251,Chitral,Khyber Pakhtunkhwa,Chitral
5,Khyber Pakhtunkhwa,252,Hangu,Khyber Pakhtunkhwa,Hangu
5,Khyber Pakhtunkhwa,253,Kohat,Khyber Pakhtunkhwa,Kohat
5,Khyber Pakhtunkhwa,254,Kohistan,Khyber Pakhtunkhwa,Kohistan
5,Khyber Pakhtunkhwa,255,Lakki Marwat,Khyber Pakhtunkhwa,Lakki Marwat
5,Khyber Pakhtunkhwa,256,Lower Dir,Khyber Pakhtunkhwa,Lower Dir
5,Khyber Pakhtunkhwa,257,Nowshera,Khyber Pakhtunkhwa,Nowshera
5,Khyber Pakhtunkhwa,258,Shangla,Khyber Pakhtunkhwa,Shangla
5,Khyber Pakhtunkhwa,259,Tor Ghar,Khyber Pakhtunkhwa,Tor Ghar
6,Gilgit-Baltistan,260,Gilgit,Gilgit-Baltistan,Gilgit
6,Gilgit-Baltistan,261,Diamer,Gilgit-Baltistan,Diamer
6,Gilgit-Baltistan,262,Skardu,Gilgit-Baltistan,Skardu
6,Gilgit-Baltistan,263,Ghanche,Gilgit-Baltistan,Ghanche
6,Gilgit-Baltistan,264,Astore,Gilgit-Baltistan,Astore
6,Gilgit-Baltistan,265,Ghizer,Gilgit-Baltistan,Ghizer
6,Gilgit-Baltistan,266,Hunza-Nagar,Gilgit-Baltistan,Hunza-Nagar
7,Azad Jammu and Kashmir,267,Muzaffarabad,Azad Jammu and Kashmir,Muzaffarabad
7,Azad Jammu and Kashmir,268,Bagh,Azad Jammu and Kashmir,Bagh
7,Azad Jammu and Kashmir,269,Mirpur,Azad Jammu and Kashmir,Mirpur
7,Azad Jammu and Kashmir,270,Neelum,Azad Jammu and Kashmir,Neelum
7,Azad Jammu and Kashmir,271,Hattian,Azad Jammu and Kashmir,Hattian
7,Azad Jammu and Kashmir,272,Bhimber,Azad Jammu and Kashmir,Bhimber
7,Azad Jammu and Kashmir,273,Kotli,Azad Jammu and Kashmir,Kotli
7,Azad Jammu and Kashmir,274,Poonch,Azad Jammu and Kashmir,Poonch
7,Azad Jammu and Kashmir,275,Haveli,Azad Jammu and Kashmir,Haveli
7,Azad Jammu and Kashmir,276,Sudhnati,Azad Jammu and Kashmir,Sudhnati
8,Islamabad - ICT,277,Islamabad,Islamabad - ICT,Islamabad
9,Federally Administrated Tribal Areas,278,Khyber Agency,Khyber Pakhtunkhwa,Khyber Agency
9,Federally Administrated Tribal Areas,279,F.R. - D.I. Khan,Khyber Pakhtunkhwa,F.R. - D.I. Khan
9,Federally Administrated Tribal Areas,280,F.R. - Peshawar,Khyber Pakhtunkhwa,F.R. - Peshawar
9,Federally Administrated Tribal Areas,281,F.R. - Bannu,Khyber Pakhtunkhwa,F.R. - Bannu
9,Federally Administrated Tribal Areas,282,F.R. - Tank,Khyber Pakhtunkhwa,F.R. - Tank
9,Federally Administrated Tribal Areas,284,Kurram Agency,Khyber Pakhtunkhwa,Kurram Agency
9,Federally Administrated Tribal Areas,287,Orakzai Agency,Khyber Pakhtunkhwa,Orakzai Agency
9,Federally Administrated Tribal Areas,289,F.R. - Kohat,Khyber Pakhtunkhwa,F.R. - Kohat
9,Federally Administrated Tribal Areas,290,F.R. - Lakki Marwat,Khyber Pakhtunkhwa,F.R. - Lakki Marwat
