"WINDEX","Beginner/Nothing","Capital letters","Small letters","Words","Sentences"
"Poor",0.337928560446882,0.12437861938195,0.177215189873418,0.233434120842515,0.127043509455235
"Relatively Poor",0.245692276505169,0.124417190350699,0.198611392661666,0.258868842489357,0.172410297993108
"Relatively Rich",0.217753623188406,0.135766045548654,0.200621118012422,0.260351966873706,0.185507246376812
"Rich",0.168034682080925,0.090635838150289,0.166416184971098,0.291156069364162,0.283757225433526
